0: (0) [0, 1]
0: (1) [1, 2]
0: (2) [3, 4]
1: (0) [0, 1]
1: (1) [1, 2]
1: (2) [3, 4]
3: (0) [1, 2]
3: (1) [3, 4]
7: (0) [0, 1]
951: (0) [0, 2]
951: (1) [1, 2]
952: (0) [2, 3]
953: (0) [1, 2]
378: (0) [1817, 1838]
503: (0) [601, 1720]
680: (0) [651, 1531]
717: (0) [493, 1190]
751: (0) [651, 684]
765: (0) [651, 684]
768: (0) [900, 1658]
793: (0) [183, 1566]
